ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
2250,0.556,0.0,0.008,0.352,0.084
2251,0.884,0.0,0.0,0.02,0.096
2252,0.444,0.0,0.012,0.336,0.208
2253,0.12,0.012,0.128,0.4,0.34
2254,0.864,0.0,0.004,0.072,0.06
2255,0.004,0.008,0.016,0.0,0.972
2256,0.668,0.0,0.008,0.284,0.04
2257,0.02,0.024,0.196,0.0,0.76
2258,0.496,0.0,0.044,0.192,0.268
2259,0.468,0.0,0.056,0.248,0.228
2260,0.52,0.0,0.044,0.308,0.128
2261,0.624,0.0,0.004,0.008,0.364
2262,0.532,0.004,0.0,0.028,0.436
2263,0.092,0.0,0.056,0.34,0.512
2264,0.004,0.064,0.06,0.004,0.868
2265,0.144,0.0,0.068,0.412,0.376
2266,0.388,0.0,0.0,0.04,0.572
2267,0.648,0.0,0.004,0.232,0.116
2268,0.156,0.024,0.356,0.024,0.44
2269,0.008,0.0,0.024,0.0,0.968
2270,0.0,0.016,0.012,0.0,0.972
2271,0.296,0.0,0.06,0.396,0.248
2272,0.0,0.004,0.06,0.004,0.932
2273,0.516,0.0,0.012,0.356,0.116
2274,0.56,0.0,0.016,0.196,0.228
2275,0.736,0.0,0.004,0.012,0.248
2276,0.024,0.012,0.04,0.004,0.92
2277,0.772,0.0,0.024,0.1,0.104
2278,0.268,0.0,0.06,0.54,0.132
2279,0.0,0.0,0.0,0.0,1.0
2280,0.068,0.016,0.012,0.036,0.868
2281,0.904,0.0,0.008,0.048,0.04
2282,0.356,0.0,0.004,0.4,0.24
2283,0.504,0.0,0.008,0.324,0.164
2284,0.596,0.0,0.036,0.048,0.32
2285,0.932,0.0,0.0,0.028,0.04
2286,0.492,0.0,0.012,0.316,0.18
2287,0.008,0.012,0.192,0.0,0.788
2288,0.368,0.0,0.024,0.112,0.496
2289,0.244,0.0,0.052,0.276,0.428
2290,0.428,0.004,0.044,0.18,0.344
2291,0.276,0.0,0.016,0.664,0.044
2292,0.196,0.008,0.132,0.112,0.552
2293,0.492,0.016,0.208,0.04,0.244
2294,0.668,0.0,0.008,0.1,0.224
2295,0.66,0.0,0.036,0.192,0.112
2296,0.8,0.0,0.0,0.056,0.144
2297,0.52,0.0,0.032,0.348,0.1
2298,0.176,0.004,0.124,0.368,0.328
2299,0.5,0.0,0.02,0.32,0.16
2300,0.472,0.004,0.024,0.444,0.056
2301,0.54,0.004,0.036,0.176,0.244
2302,0.472,0.004,0.088,0.096,0.34
2303,0.064,0.016,0.052,0.06,0.808
2304,0.524,0.0,0.052,0.176,0.248
2305,0.032,0.0,0.156,0.544,0.268
2306,0.748,0.0,0.012,0.176,0.064
2307,0.14,0.004,0.024,0.092,0.74
2308,0.272,0.0,0.196,0.02,0.512
2309,0.0,0.032,0.144,0.0,0.824
2310,0.0,0.0,0.0,0.0,1.0
2311,0.0,0.0,0.0,0.0,1.0
2312,0.124,0.0,0.008,0.04,0.828
2313,0.624,0.0,0.02,0.176,0.18
2314,0.672,0.0,0.004,0.252,0.072
2315,0.58,0.0,0.0,0.096,0.324
2316,0.524,0.0,0.028,0.352,0.096
2317,0.048,0.004,0.064,0.0,0.884
2318,0.58,0.004,0.036,0.076,0.304
2319,0.004,0.02,0.044,0.004,0.928
2320,0.06,0.0,0.36,0.28,0.3
2321,0.756,0.0,0.0,0.048,0.196
2322,0.888,0.0,0.0,0.056,0.056
2323,0.476,0.0,0.024,0.088,0.412
2324,0.712,0.0,0.0,0.184,0.104
2325,0.0,0.0,0.04,0.0,0.96
2326,0.5,0.004,0.012,0.404,0.08
2327,0.0,0.004,0.032,0.0,0.964
2328,0.476,0.0,0.028,0.368,0.128
2329,0.42,0.004,0.012,0.032,0.532
2330,0.44,0.0,0.004,0.104,0.452
2331,0.588,0.0,0.004,0.18,0.228
2332,0.128,0.004,0.056,0.584,0.228
2333,0.64,0.0,0.012,0.288,0.06
2334,0.496,0.004,0.076,0.272,0.152
2335,0.404,0.012,0.056,0.156,0.372
2336,0.532,0.0,0.036,0.208,0.224
2337,0.348,0.0,0.016,0.032,0.604
2338,0.0,0.0,0.008,0.0,0.992
2339,0.636,0.0,0.016,0.164,0.184
2340,0.792,0.0,0.012,0.132,0.064
2341,0.516,0.004,0.008,0.008,0.464
2342,0.648,0.0,0.008,0.144,0.2
2343,0.62,0.02,0.02,0.068,0.272
2344,0.528,0.0,0.012,0.148,0.312
2345,0.74,0.0,0.032,0.104,0.124
2346,0.052,0.004,0.468,0.004,0.472
2347,0.18,0.0,0.036,0.144,0.64
2348,0.012,0.012,0.036,0.0,0.94
2349,0.084,0.0,0.256,0.088,0.572
2350,0.008,0.036,0.064,0.0,0.892
2351,0.48,0.008,0.024,0.048,0.44
2352,0.816,0.0,0.012,0.016,0.156
2353,0.676,0.0,0.092,0.124,0.108
2354,0.072,0.028,0.224,0.048,0.628
2355,0.64,0.0,0.04,0.24,0.08
2356,0.388,0.0,0.036,0.376,0.2
2357,0.628,0.0,0.004,0.124,0.244
2358,0.312,0.032,0.016,0.024,0.616
2359,0.8,0.016,0.016,0.032,0.136
2360,0.504,0.0,0.152,0.172,0.172
2361,0.56,0.0,0.012,0.288,0.14
2362,0.712,0.0,0.0,0.112,0.176
2363,0.46,0.0,0.008,0.348,0.184
2364,0.964,0.0,0.0,0.032,0.004
2365,0.632,0.008,0.02,0.208,0.132
2366,0.484,0.0,0.036,0.36,0.12
2367,0.112,0.0,0.108,0.468,0.312
2368,0.868,0.0,0.0,0.06,0.072
2369,0.648,0.0,0.028,0.26,0.064
2370,0.424,0.0,0.012,0.156,0.408
2371,0.6,0.0,0.044,0.044,0.312
2372,0.464,0.0,0.02,0.388,0.128
2373,0.016,0.012,0.04,0.024,0.908
2374,0.74,0.004,0.024,0.08,0.152
2375,0.612,0.0,0.0,0.216,0.172
2376,0.652,0.0,0.0,0.28,0.068
2377,0.316,0.004,0.016,0.536,0.128
2378,0.788,0.0,0.004,0.16,0.048
2379,0.532,0.004,0.02,0.356,0.088
2380,0.0,0.0,0.0,0.0,1.0
2381,0.716,0.0,0.004,0.044,0.236
2382,0.208,0.004,0.032,0.2,0.556
2383,0.256,0.0,0.036,0.52,0.188
2384,0.808,0.0,0.008,0.156,0.028
2385,0.056,0.056,0.176,0.004,0.708
2386,0.448,0.0,0.032,0.376,0.144
2387,0.924,0.0,0.004,0.028,0.044
2388,0.496,0.004,0.016,0.392,0.092
2389,0.0,0.004,0.008,0.0,0.988
2390,0.62,0.004,0.088,0.02,0.268
2391,0.208,0.0,0.172,0.468,0.152
2392,0.536,0.0,0.008,0.08,0.376
2393,0.248,0.004,0.032,0.496,0.22
2394,0.28,0.0,0.004,0.348,0.368
2395,0.004,0.0,0.012,0.0,0.984
2396,0.34,0.0,0.04,0.152,0.468
2397,0.016,0.008,0.132,0.016,0.828
2398,0.016,0.008,0.04,0.032,0.904
2399,0.668,0.0,0.044,0.212,0.076
2400,0.816,0.016,0.016,0.028,0.124
2401,0.336,0.008,0.12,0.372,0.164
2402,0.724,0.0,0.0,0.228,0.048
2403,0.536,0.0,0.032,0.268,0.164
2404,0.66,0.0,0.008,0.304,0.028
2405,0.504,0.0,0.012,0.112,0.372
2406,0.352,0.008,0.008,0.352,0.28
2407,0.64,0.0,0.028,0.244,0.088
2408,0.624,0.004,0.004,0.22,0.148
2409,0.004,0.036,0.04,0.02,0.9
2410,0.512,0.008,0.236,0.068,0.176
2411,0.556,0.0,0.024,0.236,0.184
2412,0.448,0.0,0.008,0.328,0.216
2413,0.012,0.008,0.032,0.0,0.948
2414,0.34,0.0,0.032,0.408,0.22
2415,0.876,0.004,0.004,0.008,0.108
2416,0.98,0.0,0.004,0.012,0.004
2417,0.008,0.016,0.596,0.008,0.372
2418,0.052,0.008,0.168,0.004,0.768
2419,0.168,0.004,0.02,0.308,0.5
2420,0.14,0.0,0.056,0.672,0.132
2421,0.036,0.048,0.42,0.008,0.488
2422,0.524,0.0,0.012,0.404,0.06
2423,0.976,0.0,0.0,0.004,0.02
2424,0.388,0.0,0.008,0.364,0.24
2425,0.132,0.004,0.06,0.444,0.36
2426,0.26,0.0,0.044,0.596,0.1
2427,0.0,0.0,0.0,0.0,1.0
2428,0.468,0.0,0.016,0.388,0.128
2429,0.572,0.0,0.008,0.312,0.108
2430,0.992,0.0,0.004,0.0,0.004
2431,0.816,0.0,0.0,0.02,0.164
2432,0.828,0.0,0.004,0.104,0.064
2433,0.92,0.0,0.0,0.036,0.044
2434,0.284,0.064,0.028,0.012,0.612
2435,0.76,0.0,0.012,0.016,0.212
2436,0.076,0.064,0.388,0.02,0.452
2437,0.752,0.008,0.044,0.032,0.164
2438,0.304,0.0,0.092,0.388,0.216
2439,0.996,0.0,0.0,0.0,0.004
2440,0.192,0.024,0.036,0.092,0.656
2441,0.34,0.0,0.156,0.348,0.156
2442,0.344,0.0,0.032,0.468,0.156
2443,0.184,0.008,0.132,0.012,0.664
2444,0.488,0.0,0.012,0.436,0.064
2445,0.052,0.04,0.464,0.004,0.44
2446,0.212,0.004,0.116,0.44,0.228
2447,0.868,0.02,0.004,0.012,0.096
2448,0.92,0.0,0.012,0.0,0.068
2449,0.908,0.0,0.008,0.004,0.08
2450,0.564,0.028,0.056,0.172,0.18
2451,0.02,0.0,0.364,0.364,0.252
2452,0.0,0.0,0.004,0.0,0.996
2453,0.032,0.044,0.136,0.08,0.708
2454,0.536,0.0,0.016,0.24,0.208
2455,0.572,0.0,0.0,0.244,0.184
2456,0.932,0.0,0.012,0.028,0.028
2457,0.0,0.008,0.16,0.028,0.804
2458,0.264,0.0,0.024,0.02,0.692
2459,0.004,0.008,0.064,0.004,0.92
2460,0.88,0.0,0.004,0.016,0.1
2461,0.488,0.008,0.064,0.172,0.268
2462,0.528,0.004,0.004,0.312,0.152
2463,0.8,0.0,0.0,0.044,0.156
2464,0.576,0.0,0.012,0.06,0.352
2465,0.712,0.0,0.02,0.216,0.052
2466,0.928,0.0,0.0,0.024,0.048
2467,0.772,0.02,0.004,0.004,0.2
2468,0.0,0.004,0.028,0.0,0.968
2469,0.776,0.0,0.008,0.124,0.092
2470,0.952,0.0,0.004,0.032,0.012
2471,0.38,0.012,0.024,0.156,0.428
2472,0.744,0.004,0.036,0.004,0.212
2473,0.756,0.004,0.044,0.04,0.156
2474,0.46,0.0,0.1,0.328,0.112
2475,0.304,0.0,0.04,0.468,0.188
2476,0.004,0.012,0.028,0.004,0.952
2477,0.036,0.0,0.332,0.336,0.296
2478,0.008,0.016,0.248,0.0,0.728
2479,0.324,0.0,0.028,0.1,0.548
2480,0.432,0.004,0.02,0.304,0.24
2481,0.46,0.0,0.064,0.248,0.228
2482,0.412,0.008,0.036,0.016,0.528
2483,0.088,0.0,0.004,0.104,0.804
2484,0.02,0.04,0.296,0.012,0.632
2485,0.692,0.0,0.004,0.204,0.1
2486,0.532,0.0,0.028,0.272,0.168
2487,0.556,0.004,0.044,0.336,0.06
2488,0.636,0.0,0.02,0.28,0.064
2489,0.0,0.004,0.08,0.0,0.916
2490,0.808,0.004,0.012,0.024,0.152
2491,0.364,0.0,0.052,0.132,0.452
2492,0.536,0.0,0.044,0.316,0.104
2493,0.108,0.0,0.18,0.464,0.248
2494,0.0,0.0,0.0,0.0,1.0
2495,0.872,0.004,0.008,0.044,0.072
2496,0.764,0.0,0.012,0.132,0.092
2497,0.692,0.012,0.0,0.156,0.14
2498,0.0,0.0,0.0,0.0,1.0
2499,0.056,0.024,0.416,0.024,0.48
2500,0.024,0.004,0.224,0.008,0.74
2501,0.68,0.0,0.012,0.2,0.108
2502,0.22,0.0,0.012,0.576,0.192
2503,0.804,0.008,0.0,0.14,0.048
2504,0.724,0.0,0.012,0.004,0.26
2505,0.712,0.0,0.064,0.1,0.124
2506,0.244,0.004,0.028,0.492,0.232
2507,0.004,0.0,0.032,0.008,0.956
2508,0.492,0.004,0.004,0.2,0.3
2509,0.028,0.044,0.156,0.004,0.768
2510,0.944,0.0,0.02,0.024,0.012
2511,0.408,0.0,0.02,0.412,0.16
2512,0.396,0.0,0.02,0.168,0.416
2513,0.004,0.036,0.1,0.004,0.856
2514,0.0,0.0,0.024,0.0,0.976
2515,0.544,0.004,0.012,0.2,0.24
2516,0.424,0.0,0.04,0.364,0.172
2517,0.056,0.016,0.24,0.128,0.56
2518,0.748,0.0,0.008,0.176,0.068
2519,0.052,0.004,0.396,0.304,0.244
2520,0.212,0.0,0.056,0.536,0.196
2521,0.384,0.0,0.056,0.384,0.176
2522,0.536,0.0,0.012,0.188,0.264
2523,0.7,0.0,0.004,0.144,0.152
2524,0.112,0.008,0.208,0.364,0.308
2525,0.172,0.004,0.032,0.212,0.58
2526,0.08,0.0,0.004,0.048,0.868
2527,0.504,0.0,0.012,0.152,0.332
2528,0.504,0.0,0.012,0.444,0.04
2529,0.38,0.0,0.02,0.412,0.188
2530,0.0,0.0,0.02,0.004,0.976
2531,0.024,0.024,0.172,0.008,0.772
2532,0.04,0.012,0.168,0.016,0.764
2533,0.952,0.004,0.004,0.004,0.036
2534,0.036,0.012,0.288,0.076,0.588
2535,0.528,0.0,0.028,0.396,0.048
2536,0.488,0.0,0.096,0.348,0.068
2537,0.18,0.0,0.04,0.112,0.668
2538,0.068,0.024,0.076,0.152,0.68
2539,0.004,0.0,0.024,0.0,0.972
2540,0.012,0.004,0.032,0.02,0.932
2541,0.792,0.012,0.0,0.016,0.18
2542,0.896,0.0,0.0,0.068,0.036
2543,0.652,0.0,0.0,0.284,0.064
2544,0.976,0.0,0.0,0.016,0.008
2545,0.776,0.0,0.012,0.144,0.068
2546,0.044,0.028,0.5,0.0,0.428
2547,0.368,0.008,0.096,0.372,0.156
2548,0.912,0.0,0.0,0.024,0.064
2549,0.54,0.0,0.008,0.368,0.084
2550,0.148,0.004,0.176,0.4,0.272
2551,0.528,0.0,0.012,0.2,0.26
2552,0.0,0.0,0.004,0.0,0.996
2553,0.668,0.0,0.0,0.256,0.076
2554,0.708,0.004,0.004,0.08,0.204
2555,0.7,0.0,0.008,0.204,0.088
2556,0.0,0.0,0.004,0.0,0.996
2557,0.448,0.0,0.0,0.208,0.344
2558,0.8,0.0,0.016,0.02,0.164
2559,0.696,0.0,0.008,0.156,0.14
2560,0.668,0.004,0.008,0.184,0.136
2561,0.476,0.0,0.028,0.368,0.128
2562,0.46,0.0,0.116,0.232,0.192
2563,0.264,0.0,0.032,0.544,0.16
2564,0.96,0.0,0.024,0.004,0.012
2565,0.948,0.0,0.004,0.016,0.032
2566,0.088,0.004,0.044,0.312,0.552
2567,0.06,0.0,0.168,0.524,0.248
2568,0.524,0.004,0.048,0.308,0.116
2569,0.22,0.004,0.032,0.272,0.472
2570,0.732,0.008,0.012,0.044,0.204
2571,0.72,0.004,0.06,0.156,0.06
2572,0.472,0.012,0.024,0.34,0.152
2573,0.508,0.0,0.008,0.264,0.22
2574,0.876,0.0,0.008,0.064,0.052
2575,0.584,0.0,0.008,0.08,0.328
2576,0.312,0.032,0.016,0.024,0.616
2577,0.388,0.0,0.012,0.212,0.388
2578,0.352,0.0,0.024,0.5,0.124
2579,0.208,0.004,0.016,0.268,0.504
2580,0.236,0.0,0.032,0.12,0.612
2581,0.644,0.0,0.004,0.036,0.316
2582,0.48,0.0,0.036,0.336,0.148
2583,0.868,0.004,0.0,0.052,0.076
2584,0.26,0.0,0.024,0.648,0.068
2585,0.236,0.008,0.044,0.476,0.236
2586,0.288,0.004,0.016,0.472,0.22
2587,0.036,0.0,0.268,0.396,0.3
2588,0.032,0.04,0.024,0.0,0.904
2589,0.832,0.008,0.012,0.012,0.136
2590,0.0,0.0,0.0,0.0,1.0
2591,0.556,0.0,0.076,0.132,0.236
2592,0.84,0.0,0.024,0.016,0.12
2593,0.008,0.036,0.016,0.0,0.94
2594,0.0,0.02,0.096,0.0,0.884
2595,0.344,0.0,0.036,0.288,0.332
2596,0.184,0.348,0.156,0.012,0.3
2597,0.84,0.0,0.008,0.072,0.08
2598,0.6,0.004,0.032,0.22,0.144
2599,0.352,0.0,0.132,0.26,0.256
2600,0.332,0.0,0.024,0.044,0.6
2601,0.488,0.0,0.02,0.24,0.252
2602,0.268,0.036,0.016,0.024,0.656
2603,0.072,0.012,0.224,0.004,0.688
2604,0.332,0.0,0.036,0.372,0.26
2605,0.52,0.0,0.016,0.044,0.42
2606,0.104,0.012,0.108,0.644,0.132
2607,0.464,0.004,0.104,0.224,0.204
2608,0.6,0.0,0.004,0.308,0.088
2609,0.2,0.0,0.036,0.62,0.144
2610,0.328,0.0,0.064,0.352,0.256
2611,0.18,0.0,0.056,0.176,0.588
2612,0.532,0.0,0.064,0.324,0.08
2613,0.284,0.0,0.072,0.536,0.108
2614,0.552,0.0,0.0,0.228,0.22
2615,0.828,0.0,0.008,0.016,0.148
2616,0.704,0.008,0.092,0.016,0.18
2617,0.096,0.0,0.064,0.192,0.648
2618,0.436,0.0,0.036,0.328,0.2
2619,0.268,0.036,0.032,0.316,0.348
2620,0.676,0.0,0.008,0.236,0.08
2621,0.0,0.0,0.0,0.0,1.0
2622,0.504,0.0,0.04,0.376,0.08
2623,0.652,0.0,0.012,0.308,0.028
2624,0.952,0.0,0.008,0.008,0.032
2625,0.22,0.0,0.232,0.496,0.052
2626,0.004,0.004,0.148,0.0,0.844
2627,0.284,0.008,0.0,0.144,0.564
2628,0.596,0.008,0.056,0.1,0.24
2629,0.42,0.004,0.024,0.028,0.524
2630,0.292,0.036,0.224,0.04,0.408
2631,0.42,0.0,0.008,0.176,0.396
2632,0.916,0.004,0.024,0.016,0.04
2633,0.0,0.02,0.144,0.0,0.836
2634,0.584,0.0,0.004,0.376,0.036
2635,0.308,0.028,0.016,0.448,0.2
2636,0.74,0.0,0.008,0.064,0.188
2637,0.38,0.0,0.052,0.496,0.072
2638,0.964,0.0,0.0,0.004,0.032
2639,0.652,0.0,0.008,0.276,0.064
2640,0.816,0.0,0.0,0.124,0.06
2641,0.444,0.0,0.008,0.14,0.408
2642,0.084,0.0,0.04,0.368,0.508
2643,0.056,0.0,0.312,0.284,0.348
2644,0.884,0.0,0.004,0.032,0.08
2645,0.288,0.0,0.04,0.428,0.244
2646,0.008,0.036,0.072,0.004,0.88
2647,0.028,0.04,0.068,0.0,0.864
2648,0.06,0.04,0.336,0.0,0.564
2649,0.82,0.028,0.048,0.0,0.104
2650,0.0,0.0,0.0,0.0,1.0
2651,0.74,0.012,0.004,0.012,0.232
2652,0.0,0.012,0.012,0.0,0.976
2653,0.632,0.0,0.016,0.216,0.136
2654,0.612,0.0,0.024,0.24,0.124
2655,0.0,0.0,0.18,0.008,0.812
2656,0.216,0.0,0.168,0.38,0.236
2657,0.66,0.004,0.004,0.14,0.192
2658,0.132,0.008,0.02,0.08,0.76
2659,0.004,0.2,0.2,0.0,0.596
2660,0.264,0.0,0.004,0.164,0.568
2661,0.088,0.016,0.096,0.332,0.468
2662,0.944,0.0,0.004,0.0,0.052
2663,0.432,0.0,0.02,0.404,0.144
2664,0.408,0.0,0.02,0.24,0.332
2665,0.64,0.0,0.016,0.14,0.204
2666,0.544,0.0,0.012,0.256,0.188
2667,0.528,0.0,0.032,0.34,0.1
2668,0.52,0.0,0.024,0.312,0.144
2669,0.316,0.0,0.096,0.32,0.268
2670,0.344,0.0,0.012,0.052,0.592
2671,0.14,0.024,0.12,0.056,0.66
2672,0.676,0.008,0.028,0.092,0.196
2673,0.144,0.0,0.028,0.584,0.244
2674,0.656,0.0,0.008,0.18,0.156
2675,0.152,0.032,0.172,0.016,0.628
2676,0.1,0.096,0.38,0.0,0.424
2677,0.904,0.0,0.008,0.004,0.084
2678,0.036,0.028,0.08,0.012,0.844
2679,0.392,0.0,0.064,0.44,0.104
2680,0.016,0.0,0.068,0.004,0.912
2681,0.0,0.036,0.048,0.0,0.916
2682,0.04,0.008,0.164,0.0,0.788
2683,0.932,0.0,0.004,0.02,0.044
2684,0.668,0.0,0.016,0.256,0.06
2685,0.26,0.0,0.048,0.348,0.344
2686,0.092,0.012,0.028,0.232,0.636
2687,0.48,0.004,0.004,0.404,0.108
2688,0.316,0.048,0.032,0.36,0.244
2689,0.464,0.0,0.024,0.16,0.352
2690,0.0,0.0,0.004,0.0,0.996
2691,0.024,0.024,0.108,0.02,0.824
2692,0.54,0.0,0.004,0.232,0.224
2693,0.48,0.0,0.028,0.364,0.128
2694,0.112,0.028,0.156,0.032,0.672
2695,0.24,0.0,0.092,0.508,0.16
2696,0.004,0.008,0.016,0.0,0.972
2697,0.632,0.0,0.0,0.048,0.32
2698,0.736,0.0,0.016,0.072,0.176
2699,0.188,0.008,0.012,0.008,0.784
2700,0.0,0.0,0.016,0.0,0.984
2701,0.76,0.0,0.0,0.044,0.196
2702,0.588,0.004,0.008,0.228,0.172
2703,0.812,0.0,0.004,0.128,0.056
2704,0.02,0.012,0.248,0.0,0.72
2705,0.004,0.008,0.052,0.004,0.932
2706,0.48,0.0,0.044,0.344,0.132
2707,0.296,0.032,0.092,0.256,0.324
2708,0.308,0.004,0.076,0.452,0.16
2709,0.0,0.0,0.028,0.0,0.972
2710,0.232,0.008,0.028,0.696,0.036
2711,0.284,0.0,0.012,0.508,0.196
2712,0.104,0.0,0.06,0.368,0.468
2713,0.548,0.0,0.004,0.436,0.012
2714,0.928,0.0,0.02,0.016,0.036
2715,0.0,0.004,0.056,0.0,0.94
2716,0.888,0.0,0.004,0.1,0.008
2717,0.748,0.0,0.02,0.172,0.06
2718,0.688,0.0,0.036,0.2,0.076
2719,0.76,0.008,0.016,0.032,0.184
2720,0.768,0.0,0.008,0.016,0.208
2721,0.088,0.0,0.124,0.488,0.3
2722,0.696,0.0,0.0,0.236,0.068
2723,0.024,0.044,0.5,0.0,0.432
2724,0.272,0.028,0.12,0.104,0.476
2725,0.112,0.04,0.016,0.0,0.832
2726,0.7,0.0,0.004,0.252,0.044
2727,0.592,0.0,0.0,0.136,0.272
2728,0.044,0.008,0.092,0.008,0.848
2729,0.744,0.0,0.008,0.104,0.144
2730,0.808,0.0,0.004,0.0,0.188
2731,0.968,0.0,0.008,0.012,0.012
2732,0.228,0.016,0.144,0.008,0.604
2733,0.0,0.0,0.008,0.0,0.992
2734,0.516,0.0,0.036,0.272,0.176
2735,0.492,0.016,0.02,0.12,0.352
2736,0.372,0.0,0.064,0.352,0.212
2737,0.384,0.0,0.08,0.052,0.484
2738,0.432,0.0,0.056,0.392,0.12
2739,0.036,0.008,0.796,0.036,0.124
2740,0.52,0.004,0.044,0.06,0.372
2741,0.528,0.0,0.072,0.204,0.196
2742,0.072,0.024,0.072,0.056,0.776
2743,0.832,0.0,0.004,0.02,0.144
2744,0.0,0.004,0.012,0.0,0.984
2745,0.868,0.008,0.044,0.02,0.06
2746,0.272,0.0,0.032,0.5,0.196
2747,0.68,0.0,0.008,0.124,0.188
2748,0.54,0.0,0.008,0.24,0.212
2749,0.308,0.0,0.06,0.072,0.56
2750,0.108,0.0,0.112,0.456,0.324
2751,0.544,0.0,0.004,0.172,0.28
2752,0.668,0.0,0.0,0.064,0.268
2753,0.74,0.0,0.004,0.232,0.024
2754,0.368,0.004,0.096,0.356,0.176
2755,0.092,0.0,0.04,0.18,0.688
2756,0.004,0.024,0.088,0.0,0.884
2757,0.432,0.0,0.028,0.424,0.116
2758,0.012,0.0,0.092,0.0,0.896
2759,0.02,0.0,0.036,0.188,0.756
2760,0.1,0.008,0.092,0.052,0.748
2761,0.584,0.0,0.016,0.048,0.352
2762,0.632,0.0,0.012,0.296,0.06
2763,0.78,0.0,0.004,0.176,0.04
2764,0.708,0.0,0.024,0.008,0.26
2765,0.004,0.016,0.028,0.012,0.94
2766,0.272,0.004,0.024,0.572,0.128
2767,0.804,0.0,0.008,0.02,0.168
2768,0.796,0.004,0.008,0.036,0.156
2769,0.368,0.0,0.016,0.064,0.552
2770,0.056,0.0,0.076,0.572,0.296
2771,0.468,0.0,0.036,0.288,0.208
2772,0.192,0.0,0.048,0.62,0.14
2773,0.944,0.0,0.0,0.012,0.044
2774,0.0,0.02,0.004,0.0,0.976
2775,0.0,0.0,0.004,0.0,0.996
2776,0.42,0.0,0.06,0.316,0.204
2777,0.008,0.0,0.012,0.0,0.98
2778,0.776,0.0,0.036,0.004,0.184
2779,0.196,0.004,0.084,0.452,0.264
2780,0.476,0.004,0.056,0.308,0.156
2781,0.132,0.0,0.14,0.512,0.216
2782,0.836,0.0,0.004,0.104,0.056
2783,0.836,0.0,0.0,0.052,0.112
2784,0.9,0.0,0.012,0.064,0.024
2785,0.284,0.0,0.008,0.212,0.496
2786,0.96,0.0,0.008,0.004,0.028
2787,0.88,0.012,0.008,0.016,0.084
2788,0.036,0.012,0.436,0.0,0.516
2789,0.0,0.004,0.02,0.0,0.976
2790,0.332,0.012,0.012,0.012,0.632
2791,0.936,0.004,0.012,0.008,0.04
2792,0.92,0.0,0.0,0.052,0.028
2793,0.296,0.0,0.02,0.568,0.116
2794,0.052,0.008,0.108,0.428,0.404
2795,0.744,0.0,0.004,0.0,0.252
2796,0.284,0.0,0.08,0.38,0.256
2797,0.556,0.0,0.016,0.112,0.316
2798,0.212,0.02,0.096,0.368,0.304
2799,0.172,0.008,0.04,0.492,0.288
2800,0.676,0.0,0.02,0.216,0.088
2801,0.248,0.028,0.06,0.192,0.472
2802,0.712,0.0,0.004,0.208,0.076
2803,0.2,0.0,0.052,0.552,0.196
2804,0.416,0.0,0.008,0.204,0.372
2805,0.376,0.0,0.016,0.112,0.496
2806,0.024,0.076,0.224,0.052,0.624
2807,0.0,0.004,0.008,0.004,0.984
2808,0.608,0.0,0.028,0.18,0.184
2809,0.536,0.0,0.004,0.336,0.124
2810,0.196,0.0,0.148,0.5,0.156
2811,0.5,0.0,0.032,0.228,0.24
2812,0.004,0.0,0.02,0.0,0.976
2813,0.924,0.004,0.0,0.012,0.06
2814,0.256,0.0,0.028,0.624,0.092
2815,0.212,0.0,0.056,0.204,0.528
2816,0.792,0.008,0.004,0.004,0.192
2817,0.004,0.048,0.056,0.004,0.888
2818,0.884,0.0,0.0,0.056,0.06
2819,0.244,0.0,0.028,0.316,0.412
2820,0.944,0.008,0.004,0.044,0.0
2821,0.24,0.044,0.06,0.0,0.656
2822,0.548,0.0,0.088,0.2,0.164
2823,0.008,0.016,0.02,0.0,0.956
2824,0.524,0.0,0.068,0.348,0.06
2825,0.48,0.004,0.016,0.34,0.16
2826,0.348,0.0,0.064,0.328,0.26
2827,0.272,0.0,0.008,0.564,0.156
2828,0.268,0.0,0.076,0.432,0.224
2829,0.276,0.0,0.028,0.608,0.088
2830,0.788,0.004,0.068,0.004,0.136
2831,0.6,0.0,0.008,0.224,0.168
2832,0.088,0.0,0.156,0.192,0.564
2833,0.368,0.0,0.004,0.06,0.568
2834,0.684,0.0,0.004,0.016,0.296
2835,0.408,0.004,0.072,0.468,0.048
2836,0.356,0.0,0.016,0.428,0.2
2837,0.432,0.0,0.032,0.192,0.344
2838,0.016,0.012,0.12,0.004,0.848
2839,0.052,0.016,0.164,0.032,0.736
2840,0.196,0.0,0.032,0.28,0.492
2841,0.728,0.0,0.008,0.16,0.104
2842,0.732,0.0,0.0,0.012,0.256
2843,0.376,0.0,0.088,0.472,0.064
2844,0.0,0.0,0.02,0.0,0.98
2845,0.408,0.0,0.072,0.336,0.184
2846,0.62,0.0,0.0,0.212,0.168
2847,0.308,0.0,0.084,0.512,0.096
2848,0.716,0.0,0.024,0.092,0.168
2849,0.128,0.0,0.036,0.192,0.644
2850,0.692,0.0,0.0,0.088,0.22
2851,0.216,0.0,0.208,0.064,0.512
2852,0.816,0.0,0.004,0.06,0.12
2853,0.404,0.0,0.008,0.02,0.568
2854,0.688,0.0,0.0,0.144,0.168
2855,0.872,0.0,0.012,0.004,0.112
2856,0.84,0.012,0.044,0.04,0.064
